VIN,County,City,State,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJSA1H11E,Chelan,Zillah,,2013,Buick,Regal,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,160.8,45841.7,8,137204059,POINT (-122.2202561 47.3077398),PACIFICORP,53045044463.0
KNDJX3AE8G,Kitsap,Auburn,,2013,GMC,Yukon,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,109.6,65077.7,26,152952960,POINT (-120.2658133 46.4063477),PUGET SOUND ENERGY INC,53010996098.7
5YJSA1H11E,Snohomish,Yakima,,2016,Toyota,Sienna,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,172.8,37931.0,12,180838656,POINT (-122.6064912 47.5236145),PUD NO 1 OF CHELAN COUNTY,53029273528.8
5YJSA1H27E,Chelan,Zillah,,2016,Ford,Aerostar,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,110.8,34341.3,10,168274766,POINT (-120.6860209 47.7095564),PUGET SOUND ENERGY INC,53010438564.0
5YJSA1DP4D,Chelan,Bothell,,2015,Lotus,Esprit,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,183.3,53969.6,8,154760215,POINT (-122.206146 47.839957),PUD NO 1 OF CHELAN COUNTY,53058349228.5
5YJSA1H27E,Yakima,Bothell,ENG,2015,Hyundai,Accent,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,188.5,57935.5,9,135101939,POINT (-120.2658133 46.4063477),PUGET SOUND ENERGY INC,53043111480.4
5YJSA1H27E,King,Zillah,,2016,Chevrolet,Express 2500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,188.2,53751.0,8,169987370,POINT (-120.611068 46.596645),PUD NO 1 OF CHELAN COUNTY,53015051938.7
5YJSA1H27E,Snohomish,Port Orchard,,2014,Mazda,CX-9,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,110.4,50738.0,9,139752291,POINT (-122.2202561 47.3077398),PUGET SOUND ENERGY INC,53031239749.1
5YJSA1DP4D,Snohomish,Zillah,A8,2013,Dodge,Viper,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,152.0,43002.7,12,152943658,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061020184.1
5YJSA1DP4D,Kitsap,Yakima,,2013,Infiniti,J,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,206.2,50111.1,17,192287338,POINT (-122.2202561 47.3077398),PUGET SOUND ENERGY INC,53008988393.2
5YJSA1DP4D,King,Port Orchard,,2013,Buick,Century,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,126.1,41375.7,16,185239202,POINT (-122.6064912 47.5236145),PACIFICORP,53041042925.7
5YJSA1H27E,Snohomish,Bothell,,2014,Bentley,Arnage,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,122.8,69016.8,20,192585916,POINT (-120.2658133 46.4063477),PACIFICORP,53075989469.3
KNDJX3AE8G,Chelan,Auburn,,2013,Chevrolet,Camaro,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,188.9,55367.3,20,133371154,POINT (-122.2202561 47.3077398),PUD NO 1 OF CHELAN COUNTY,53063082789.5
5YJSA1H10E,King,Yakima,,2013,Dodge,Caravan,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,153.5,50557.5,4,146695819,POINT (-120.611068 46.596645),PUD NO 1 OF CHELAN COUNTY,53063799058.5
5YJSA1H10E,Yakima,Port Orchard,,2014,Mazda,MX-6,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,187.4,41380.3,4,146954769,POINT (-120.611068 46.596645),PUGET SOUND ENERGY INC,53028016337.5
KNDJX3AE8G,Kitsap,Bothell,03,2015,Pontiac,Tempest,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,137.0,40040.1,10,190461544,POINT (-120.6860209 47.7095564),PUGET SOUND ENERGY INC,53069270986.9
KNDJX3AE8G,King,Yakima,,2014,Kia,Carens,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,186.7,35190.2,13,171107682,POINT (-120.6860209 47.7095564),PACIFICORP,53032162124.2
5YJSA1DP4D,King,Port Orchard,,2014,Mercury,Grand Marquis,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,145.9,50078.6,5,184955767,POINT (-122.206146 47.839957),PACIFICORP,53021350200.9
5YJSA1DP4D,Kitsap,Zillah,D,2015,Geo,Tracker,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,102.5,50594.0,27,185839776,POINT (-120.611068 46.596645),PACIFICORP,53070484586.4
5YJSA1H27E,Snohomish,Zillah,,2015,Volkswagen,Phaeton,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,162.0,37092.8,19,184855461,POINT (-120.2658133 46.4063477),PUD NO 1 OF CHELAN COUNTY,53037711990.2
5YJSA1H11E,Chelan,Port Orchard,,2016,Honda,Accord,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,108.1,53099.0,14,161662688,POINT (-122.6064912 47.5236145),PUGET SOUND ENERGY INC,53036518101.1
KNDJX3AE8G,Kitsap,Port Orchard,,2013,Ford,Taurus,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,100.0,42657.6,28,136886265,POINT (-120.2658133 46.4063477),PUGET SOUND ENERGY INC,53055980735.5
KNDJX3AE8G,King,Auburn,,2015,Chevrolet,Express 3500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,105.5,45747.1,13,162360708,POINT (-122.2202561 47.3077398),PUD NO 1 OF CHELAN COUNTY,53059690250.0
5YJSA1H27E,Snohomish,Bothell,,2014,Saturn,Astra,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,104.8,46023.0,24,157005007,POINT (-122.206146 47.839957),PACIFICORP,53058266608.0
5YJSA1H27E,Kitsap,Auburn,,2015,Chevrolet,Uplander,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,172.3,34872.2,31,128873973,POINT (-122.2202561 47.3077398),PACIFICORP,53018874879.1
5YJSA1H27E,Yakima,Port Orchard,,2014,Porsche,928,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,141.0,48765.8,23,168827967,POINT (-120.6860209 47.7095564),PUD NO 1 OF CHELAN COUNTY,53022883408.2
5YJSA1DP4D,Kitsap,Leavenworth,,2014,Dodge,Charger,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,166.9,61505.7,17,187500259,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53028274805.5
5YJSA1H10E,Snohomish,Auburn,,2013,Nissan,Pathfinder,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,118.9,39202.9,5,129843428,POINT (-120.6860209 47.7095564),PACIFICORP,53031489380.8
5YJSA1H10E,Chelan,Bothell,,2014,Pontiac,6000,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,190.3,34733.6,21,154738396,POINT (-120.2658133 46.4063477),PUGET SOUND ENERGY INC,53031038674.1
KNDJX3AE8G,Kitsap,Leavenworth,,2014,Oldsmobile,Aurora,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,184.2,62651.4,26,164317121,POINT (-120.6860209 47.7095564),PACIFICORP,53037481722.1
5YJSA1H11E,Chelan,Zillah,,2014,Buick,Century,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,106.3,38778.1,14,135404666,POINT (-122.6064912 47.5236145),PACIFICORP,53064360829.5
KNDJX3AE8G,Chelan,Bothell,,2016,BMW,600,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,111.2,68811.7,1,129789637,POINT (-120.611068 46.596645),PUGET SOUND ENERGY INC,53059701705.3
5YJSA1H10E,Yakima,Leavenworth,A3,2015,Mercury,Mystique,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,207.7,49418.6,7,158046663,POINT (-120.6860209 47.7095564),PUGET SOUND ENERGY INC,53023132752.9
KNDJX3AE8G,Kitsap,Bothell,OAX,2014,Chevrolet,Malibu,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,167.9,45651.9,9,190937920,POINT (-120.611068 46.596645),PUGET SOUND ENERGY INC,53032124614.8
5YJSA1H11E,Kitsap,Bothell,,2016,Ford,F350,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,117.4,40056.5,26,171817489,POINT (-122.2202561 47.3077398),PACIFICORP,53064558197.0
KNDJX3AE8G,Kitsap,Yakima,PUE,2014,Pontiac,Daewoo Kalos,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,117.9,43475.8,15,142024159,POINT (-122.6064912 47.5236145),PUD NO 1 OF CHELAN COUNTY,53063509357.4
KNDJX3AE8G,Yakima,Yakima,,2015,Infiniti,QX56,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,100.5,64122.5,8,138349907,POINT (-122.2202561 47.3077398),PUD NO 1 OF CHELAN COUNTY,53069736274.5
5YJSA1H10E,Chelan,Yakima,,2013,BMW,3 Series,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,99.0,46591.4,20,145040210,POINT (-122.2202561 47.3077398),PUGET SOUND ENERGY INC,53027996311.5
5YJSA1H27E,King,Auburn,CA,2015,Subaru,Legacy,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,157.5,55189.3,16,129333609,POINT (-122.2202561 47.3077398),PACIFICORP,53038124466.4
5YJSA1DP4D,Snohomish,Bothell,,2013,Nissan,Murano,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,162.2,34455.8,15,137588778,POINT (-120.611068 46.596645),PACIFICORP,53068743397.3
5YJSA1H11E,King,Leavenworth,,2013,Nissan,NV1500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,152.6,42177.6,30,145072578,POINT (-122.206146 47.839957),PACIFICORP,53071551706.4
5YJSA1H27E,Yakima,Port Orchard,NY,2013,Toyota,Solara,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,182.8,61565.6,22,133846168,POINT (-122.6064912 47.5236145),PACIFICORP,53066962845.6
5YJSA1DP4D,Chelan,Auburn,,2013,Ford,Ranger,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,123.6,44434.4,27,141224154,POINT (-122.6064912 47.5236145),PUGET SOUND ENERGY INC,53020789991.2
5YJSA1H11E,Snohomish,Zillah,,2014,Lexus,IS,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,113.7,63134.7,7,140096521,POINT (-122.6064912 47.5236145),PUD NO 1 OF CHELAN COUNTY,53044036129.3
5YJSA1H27E,Chelan,Leavenworth,,2014,Ford,Escort,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,114.8,63676.0,2,156368656,POINT (-120.611068 46.596645),PACIFICORP,53015421617.4
5YJSA1H27E,Chelan,Leavenworth,,2015,Acura,NSX,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,103.9,36020.0,1,151993669,POINT (-120.2658133 46.4063477),PUGET SOUND ENERGY INC,53073875170.6
KNDJX3AE8G,Kitsap,Bothell,,2016,Pontiac,Sunbird,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,141.0,41340.3,16,138980658,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53072681230.4
5YJSA1DP4D,Chelan,Leavenworth,,2016,Mazda,Miata MX-5,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,158.6,65918.7,15,190520689,POINT (-120.611068 46.596645),PACIFICORP,53038111868.0
5YJSA1H27E,King,Auburn,,2015,Mazda,MPV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,195.5,33674.0,7,165771431,POINT (-120.2658133 46.4063477),PUGET SOUND ENERGY INC,53050668476.7
5YJSA1H27E,Kitsap,Port Orchard,,2013,Pontiac,Bonneville,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,99.5,55420.4,17,132419271,POINT (-120.6860209 47.7095564),PACIFICORP,53053647682.2
5YJSA1H11E,Snohomish,Leavenworth,,2014,Buick,Lucerne,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,159.1,51511.8,24,152578930,POINT (-120.2658133 46.4063477),PACIFICORP,53052216201.9
5YJSA1DP4D,Yakima,Bothell,,2013,Nissan,Maxima,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,186.1,43341.5,23,134618801,POINT (-122.2202561 47.3077398),PUD NO 1 OF CHELAN COUNTY,53039403707.1
KNDJX3AE8G,Snohomish,Yakima,,2013,Scion,xB,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,177.5,54408.7,15,170657169,POINT (-122.6064912 47.5236145),PUD NO 1 OF CHELAN COUNTY,53047054330.0
5YJSA1H27E,Chelan,Leavenworth,,2013,Hyundai,Accent,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,124.3,49662.3,2,173314065,POINT (-122.2202561 47.3077398),PUGET SOUND ENERGY INC,53031653923.8
5YJSA1H10E,Chelan,Port Orchard,GP,2016,Chevrolet,Cavalier,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,164.8,43438.0,20,180934192,POINT (-122.2202561 47.3077398),PACIFICORP,53045693650.2
KNDJX3AE8G,King,Bothell,,2013,Ford,Explorer Sport Trac,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,195.7,40463.4,20,170572195,POINT (-120.611068 46.596645),PUGET SOUND ENERGY INC,53075160400.1
5YJSA1H10E,King,Auburn,,2014,Suzuki,Swift,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,170.8,43104.5,1,186320087,POINT (-122.6064912 47.5236145),PACIFICORP,53022042275.5
5YJSA1H10E,Kitsap,Zillah,,2014,Volkswagen,Eos,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,157.4,49002.5,2,162725507,POINT (-122.6064912 47.5236145),PACIFICORP,53040097535.4
5YJSA1DP4D,Chelan,Auburn,,2013,Jaguar,XF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,114.3,51842.2,17,178275573,POINT (-122.6064912 47.5236145),PACIFICORP,53059860874.2
5YJSA1H27E,Snohomish,Yakima,,2016,Audi,Q7,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,134.4,52834.8,12,187195634,POINT (-120.2658133 46.4063477),PUGET SOUND ENERGY INC,53052244558.1
5YJSA1H27E,King,Port Orchard,NJ,2014,Infiniti,M,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93.1,51862.3,7,159476347,POINT (-122.206146 47.839957),PACIFICORP,53052701791.5
5YJSA1H11E,Snohomish,Port Orchard,,2014,GMC,Sierra 1500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,161.6,60454.7,30,150319746,POINT (-120.6860209 47.7095564),PACIFICORP,53011563492.7
5YJSA1H11E,Snohomish,Bothell,,2014,Infiniti,Q,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,201.9,68920.9,7,188863272,POINT (-120.611068 46.596645),PUD NO 1 OF CHELAN COUNTY,53037094220.3
5YJSA1H11E,Kitsap,Auburn,,2015,Volkswagen,Jetta III,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,190.4,42037.3,24,172744877,POINT (-122.6064912 47.5236145),PUGET SOUND ENERGY INC,53064704067.1
5YJSA1H27E,King,Zillah,,2013,Pontiac,Bonneville,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,116.9,55045.6,24,147540894,POINT (-120.6860209 47.7095564),PUGET SOUND ENERGY INC,53023783169.4
KNDJX3AE8G,Chelan,Auburn,,2016,Mercedes-Benz,SLK55 AMG,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,180.9,42990.7,13,155461102,POINT (-122.2202561 47.3077398),PACIFICORP,53010038158.9
5YJSA1H11E,Yakima,Auburn,15,2016,Chevrolet,Silverado,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,132.8,47863.6,29,149716792,POINT (-120.2658133 46.4063477),PACIFICORP,53010112411.2
KNDJX3AE8G,Snohomish,Port Orchard,BY,2014,Chrysler,Town & Country,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,206.9,53410.0,3,184064007,POINT (-122.6064912 47.5236145),PUGET SOUND ENERGY INC,53075721291.8
5YJSA1H10E,Yakima,Zillah,,2016,Chevrolet,TrailBlazer,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,128.4,50282.6,10,187250774,POINT (-122.6064912 47.5236145),PUGET SOUND ENERGY INC,53073398470.7
5YJSA1H11E,Chelan,Auburn,,2013,Nissan,Quest,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,201.8,32958.1,4,176222377,POINT (-120.611068 46.596645),PUGET SOUND ENERGY INC,53057001461.6
5YJSA1H27E,Chelan,Yakima,,2014,Subaru,Forester,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,105.2,62271.6,27,168377737,POINT (-122.2202561 47.3077398),PACIFICORP,53050167930.4
5YJSA1H11E,Yakima,Auburn,,2013,Hummer,H1,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,99.7,65007.0,9,156921587,POINT (-122.2202561 47.3077398),PACIFICORP,53011960717.6
5YJSA1H10E,Chelan,Zillah,,2015,Honda,Accord,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,95.8,68150.7,6,139049368,POINT (-120.2658133 46.4063477),PUD NO 1 OF CHELAN COUNTY,53027400103.3
KNDJX3AE8G,Yakima,Leavenworth,,2016,Land Rover,LR3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,122.1,52557.9,28,190427402,POINT (-120.611068 46.596645),PACIFICORP,53056115759.2
5YJSA1H10E,Snohomish,Leavenworth,,2013,Bentley,Continental GT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,199.6,38239.8,22,142911538,POINT (-120.6860209 47.7095564),PUD NO 1 OF CHELAN COUNTY,53071351778.0
KNDJX3AE8G,Yakima,Leavenworth,,2015,Volkswagen,Golf,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,193.1,56897.5,13,161469300,POINT (-120.611068 46.596645),PACIFICORP,53073965544.8
5YJSA1H11E,Yakima,Leavenworth,,2014,Subaru,Alcyone SVX,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,112.0,47100.2,6,166417158,POINT (-120.6860209 47.7095564),PUD NO 1 OF CHELAN COUNTY,53028105074.0
5YJSA1H27E,Snohomish,Zillah,,2015,Kia,Rio,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,98.2,47418.4,29,190932849,POINT (-120.611068 46.596645),PUGET SOUND ENERGY INC,53047041575.6
5YJSA1DP4D,Snohomish,Auburn,,2015,Honda,Civic,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,124.5,32852.2,10,163329188,POINT (-122.6064912 47.5236145),PUD NO 1 OF CHELAN COUNTY,53051660158.0
KNDJX3AE8G,King,Port Orchard,12,2015,GMC,Yukon XL 2500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,160.5,52611.7,21,186633309,POINT (-120.611068 46.596645),PUD NO 1 OF CHELAN COUNTY,53023245515.8
KNDJX3AE8G,Kitsap,Leavenworth,O,2015,Honda,Accord,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,136.0,42582.8,1,182877063,POINT (-122.2202561 47.3077398),PUD NO 1 OF CHELAN COUNTY,53067747208.3
KNDJX3AE8G,Kitsap,Yakima,,2014,Mercedes-Benz,M-Class,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,105.1,32222.8,5,146417493,POINT (-120.611068 46.596645),PUGET SOUND ENERGY INC,53030626794.4
5YJSA1H11E,King,Port Orchard,,2015,Ford,F-Series,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151.9,35632.1,19,177171793,POINT (-120.6860209 47.7095564),PUD NO 1 OF CHELAN COUNTY,53013785130.4
KNDJX3AE8G,Yakima,Bothell,,2016,Suzuki,Swift,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,115.8,55229.9,17,134716460,POINT (-122.206146 47.839957),PUD NO 1 OF CHELAN COUNTY,53053645072.2
5YJSA1H10E,Yakima,Zillah,,2013,Ford,E250,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,195.2,35267.0,21,182504909,POINT (-120.6860209 47.7095564),PUGET SOUND ENERGY INC,53011428387.7
KNDJX3AE8G,Kitsap,Yakima,,2015,Ford,Ranger,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,140.0,37282.0,16,163843400,POINT (-120.611068 46.596645),PUD NO 1 OF CHELAN COUNTY,53008952178.5
KNDJX3AE8G,Chelan,Bothell,,2016,Corbin,Sparrow,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,111.7,44256.4,21,158892878,POINT (-122.206146 47.839957),PACIFICORP,53043977773.3
5YJSA1H27E,Chelan,Leavenworth,,2016,Ford,Ranger,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,106.2,51138.0,25,183887576,POINT (-120.611068 46.596645),PUD NO 1 OF CHELAN COUNTY,53063321847.1
5YJSA1H11E,Yakima,Auburn,,2013,Subaru,Impreza,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,203.0,59014.6,27,169514650,POINT (-122.2202561 47.3077398),PUGET SOUND ENERGY INC,53028684352.6
5YJSA1H10E,Snohomish,Zillah,,2015,Oldsmobile,Cutlass Cruiser,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,166.2,66074.7,2,136768272,POINT (-120.2658133 46.4063477),PUGET SOUND ENERGY INC,53074903102.7
5YJSA1H10E,Snohomish,Bothell,F,2013,Suzuki,SJ,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204.7,54829.7,12,188532165,POINT (-120.2658133 46.4063477),PUD NO 1 OF CHELAN COUNTY,53029458482.9
KNDJX3AE8G,King,Zillah,QC,2014,BMW,M5,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107.3,68367.4,28,161571762,POINT (-120.2658133 46.4063477),PUGET SOUND ENERGY INC,53054941216.4
5YJSA1DP4D,Kitsap,Zillah,A2,2016,Toyota,Sienna,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,129.4,35024.2,6,136023847,POINT (-120.2658133 46.4063477),PUD NO 1 OF CHELAN COUNTY,53026791483.2
KNDJX3AE8G,Chelan,Bothell,B8,2015,Ford,Th!nk,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,142.1,52080.9,5,167579264,POINT (-122.2202561 47.3077398),PACIFICORP,53061921684.2
5YJSA1H11E,Chelan,Zillah,,2015,Suzuki,Esteem,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,145.6,50813.6,20,192815835,POINT (-120.6860209 47.7095564),PACIFICORP,53075835730.9
5YJSA1H11E,King,Bothell,,2014,Mazda,CX-9,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,167.6,39564.2,28,152994958,POINT (-120.6860209 47.7095564),PUD NO 1 OF CHELAN COUNTY,53055431561.9
