VIN,County,City,State,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJSA1H11E,Snohomish,Bothell,,2014,Lamborghini,Murciélago,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,189.5,33349.85,48,133527022,POINT (-120.6860209 47.7095564),PACIFICORP,53068658285.8
5YJSA1H11E,Yakima,Port Orchard,,2013,Honda,Civic,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,178.2,79779.4,5,132076086,POINT (-122.6064912 47.5236145),PUGET SOUND ENERGY INC,53053629813.7
5YJSA1DP4D,Chelan,Port Orchard,,2013,Chevrolet,3500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,181.6,58545.67,37,154700487,POINT (-120.6860209 47.7095564),PUD NO 1 OF CHELAN COUNTY,53060857436.5
5YJSA1DP4D,King,Leavenworth,,2015,Land Rover,Range Rover,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,191.3,73506.6,12,152368358,POINT (-122.6064912 47.5236145),PUD NO 1 OF CHELAN COUNTY,53056136411.3
KNDJX3AE8G,Yakima,Bothell,,2015,Mercedes-Benz,E-Class,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,205.2,60237.6,19,173311479,POINT (-122.6064912 47.5236145),PACIFICORP,53028829210.0
KNDJX3AE8G,Yakima,Leavenworth,,2016,Dodge,Neon,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,192.1,68422.0,40,139960944,POINT (-120.2658133 46.4063477),PUD NO 1 OF CHELAN COUNTY,53023138962.2
5YJSA1DP4D,Chelan,Leavenworth,QC,2014,BMW,Z4,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,141.9,41670.2,19,177219309,POINT (-122.206146 47.839957),PUD NO 1 OF CHELAN COUNTY,53009563614.4
KNDJX3AE8G,Snohomish,Leavenworth,,2014,Audi,A6,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,261.1,80856.03,10,139245525,POINT (-120.6860209 47.7095564),PACIFICORP,53071035303.1
5YJSA1H27E,Snohomish,Leavenworth,,2016,Aston Martin,V8 Vantage S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,198.7,49459.58,40,191650402,POINT (-120.2658133 46.4063477),PUGET SOUND ENERGY INC,53022087670.8
KNDJX3AE8G,King,Port Orchard,,2015,Mazda,MPV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,253.9,35749.32,23,189820438,POINT (-120.6860209 47.7095564),PUGET SOUND ENERGY INC,53025214345.7
KNDJX3AE8G,Kitsap,Leavenworth,,2013,GMC,Jimmy,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,190.7,106873.91,49,161986866,POINT (-122.6064912 47.5236145),PUD NO 1 OF CHELAN COUNTY,53058563888.9
5YJSA1H10E,King,Leavenworth,NW,2013,Toyota,Prius,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,173.2,91461.18,45,189596473,POINT (-122.206146 47.839957),PACIFICORP,53071509128.0
5YJSA1H27E,Kitsap,Auburn,,2015,Ford,F350,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,153.0,110295.84,14,142932817,POINT (-120.2658133 46.4063477),PUD NO 1 OF CHELAN COUNTY,53065271006.3
5YJSA1H11E,King,Auburn,,2013,Audi,Quattro,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,158.9,90024.73,29,141375206,POINT (-122.6064912 47.5236145),PUD NO 1 OF CHELAN COUNTY,53038369755.3
5YJSA1H27E,Chelan,Zillah,,2014,Suzuki,Grand Vitara,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,103.6,54210.89,7,178267538,POINT (-122.206146 47.839957),PUD NO 1 OF CHELAN COUNTY,53065144219.9
5YJSA1DP4D,Chelan,Zillah,,2014,Jaguar,X-Type,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,176.5,87310.72,42,176511865,POINT (-120.6860209 47.7095564),PACIFICORP,53063745697.6
KNDJX3AE8G,King,Port Orchard,,2013,Chrysler,300M,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,214.0,103567.78,5,182164381,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53021990195.0
5YJSA1H11E,Chelan,Auburn,,2014,Hyundai,Accent,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150.0,77614.61,43,145571392,POINT (-120.2658133 46.4063477),PACIFICORP,53020575341.6
5YJSA1DP4D,King,Bothell,,2014,Honda,Accord,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,155.1,84045.14,26,179658940,POINT (-122.6064912 47.5236145),PUD NO 1 OF CHELAN COUNTY,53054019985.2
5YJSA1H10E,King,Leavenworth,,2016,Subaru,Tribeca,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,137.1,68397.53,11,188508863,POINT (-122.6064912 47.5236145),PUD NO 1 OF CHELAN COUNTY,53028554206.9
5YJSA1H11E,Kitsap,Zillah,AB,2015,Mercedes-Benz,C-Class,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,115.8,72951.75,45,186787028,POINT (-122.6064912 47.5236145),PUGET SOUND ENERGY INC,53071775723.9
5YJSA1H27E,Kitsap,Auburn,,2014,Lexus,LS,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,178.0,106353.65,39,145146627,POINT (-120.611068 46.596645),PUGET SOUND ENERGY INC,53071925016.8
5YJSA1DP4D,King,Yakima,,2014,Kia,Sephia,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,189.3,96854.32,1,136103537,POINT (-120.2658133 46.4063477),PUD NO 1 OF CHELAN COUNTY,53041024371.4
5YJSA1H11E,Chelan,Leavenworth,,2015,Acura,Vigor,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,223.2,47203.9,33,146994613,POINT (-122.206146 47.839957),PUD NO 1 OF CHELAN COUNTY,53043544490.6
5YJSA1DP4D,Yakima,Leavenworth,,2016,Chevrolet,Express 1500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,170.2,55323.69,43,174964109,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53024693431.4
5YJSA1DP4D,Yakima,Leavenworth,,2014,Oldsmobile,Cutlass,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,250.2,72242.83,28,161391208,POINT (-122.6064912 47.5236145),PUD NO 1 OF CHELAN COUNTY,53028601006.8
5YJSA1H11E,Snohomish,Zillah,,2015,Lincoln,MKS,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,242.8,61734.78,12,155304011,POINT (-122.206146 47.839957),PACIFICORP,53036611381.1
5YJSA1H10E,Snohomish,Yakima,,2016,Lincoln,Town Car,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,257.6,74772.74,20,132983908,POINT (-120.6860209 47.7095564),PACIFICORP,53059836287.1
5YJSA1H11E,Kitsap,Auburn,,2015,Kia,Sportage,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,128.1,36397.7,36,144441012,POINT (-120.611068 46.596645),PACIFICORP,53015947013.4
5YJSA1H27E,Snohomish,Auburn,,2013,Chevrolet,Caprice,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,127.7,32678.52,43,178410283,POINT (-120.611068 46.596645),PUD NO 1 OF CHELAN COUNTY,53046451513.0
KNDJX3AE8G,King,Auburn,,2016,GMC,Canyon,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,154.2,93899.31,33,136873084,POINT (-122.206146 47.839957),PACIFICORP,53009424348.6
5YJSA1H10E,Yakima,Bothell,97,2016,Ford,F350,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,243.3,103615.92,2,182834005,POINT (-122.6064912 47.5236145),PUGET SOUND ENERGY INC,53019842879.9
5YJSA1H27E,Chelan,Auburn,,2016,Dodge,Caliber,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,134.7,53889.39,28,163529060,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53041478862.4
KNDJX3AE8G,Yakima,Yakima,VC,2015,Pontiac,Bonneville,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,142.3,103315.93,40,154864038,POINT (-120.2658133 46.4063477),PACIFICORP,53042966618.1
5YJSA1H27E,Kitsap,Leavenworth,,2013,Infiniti,EX,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,256.0,72088.45,10,148146476,POINT (-122.6064912 47.5236145),PACIFICORP,53012981502.2
5YJSA1H27E,Snohomish,Bothell,A8,2015,Cadillac,SRX,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,219.7,41099.05,14,162044432,POINT (-120.6860209 47.7095564),PUGET SOUND ENERGY INC,53026350086.9
5YJSA1DP4D,King,Leavenworth,,2013,Infiniti,QX,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,175.4,101437.02,21,146158397,POINT (-120.611068 46.596645),PUGET SOUND ENERGY INC,53034091270.9
5YJSA1H10E,Yakima,Auburn,,2014,Mercedes-Benz,E-Class,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,100.8,100320.54,43,148345575,POINT (-120.611068 46.596645),PACIFICORP,53036958584.6
5YJSA1H10E,Chelan,Yakima,,2016,Volvo,S70,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,189.5,63663.58,18,134797098,POINT (-120.2658133 46.4063477),PUD NO 1 OF CHELAN COUNTY,53073186684.5
5YJSA1H27E,Kitsap,Port Orchard,,2014,Ford,Probe,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,234.2,87652.8,43,134099533,POINT (-120.6860209 47.7095564),PUGET SOUND ENERGY INC,53022273263.3
5YJSA1H10E,Chelan,Port Orchard,,2014,Mercedes-Benz,500SEL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,171.4,81874.54,17,172671476,POINT (-122.206146 47.839957),PUD NO 1 OF CHELAN COUNTY,53065343686.3
KNDJX3AE8G,Snohomish,Leavenworth,,2013,Toyota,T100,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,164.5,97659.26,45,155067577,POINT (-120.611068 46.596645),PACIFICORP,53014441850.7
5YJSA1H11E,Yakima,Auburn,,2014,Hummer,H2,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,226.7,89349.3,38,156091465,POINT (-122.6064912 47.5236145),PUD NO 1 OF CHELAN COUNTY,53034304060.5
5YJSA1H10E,Kitsap,Port Orchard,,2016,GMC,3500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,214.1,70824.35,21,137606032,POINT (-120.6860209 47.7095564),PACIFICORP,53015193013.1
5YJSA1H10E,King,Auburn,,2013,Honda,Pilot,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,216.2,62648.56,15,176724463,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53041993061.7
5YJSA1H11E,Snohomish,Leavenworth,N,2014,Volkswagen,Golf,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,190.6,40871.67,1,130582148,POINT (-120.2658133 46.4063477),PACIFICORP,53035421593.0
5YJSA1DP4D,Chelan,Leavenworth,,2014,Geo,Prizm,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,119.1,43103.69,22,183490265,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061707162.3
5YJSA1H27E,Snohomish,Yakima,,2016,Toyota,4Runner,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,232.1,50522.55,14,189157572,POINT (-120.611068 46.596645),PUGET SOUND ENERGY INC,53053995907.9
5YJSA1H10E,Yakima,Yakima,,2014,Buick,Lucerne,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,222.1,94744.58,43,175333036,POINT (-122.206146 47.839957),PACIFICORP,53040313768.0
5YJSA1H10E,Kitsap,Port Orchard,,2014,Lincoln,Town Car,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,159.6,77313.41,39,132627640,POINT (-120.2658133 46.4063477),PACIFICORP,53023424448.6
5YJSA1H11E,Yakima,Zillah,,2013,Volvo,850,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,216.8,100643.93,6,150181086,POINT (-120.6860209 47.7095564),PACIFICORP,53017892960.5
5YJSA1DP4D,Kitsap,Port Orchard,,2015,Chrysler,Town & Country,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,247.9,47851.28,35,142081996,POINT (-120.611068 46.596645),PACIFICORP,53056434131.7
5YJSA1H10E,Chelan,Leavenworth,,2014,Toyota,Cressida,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,196.2,57975.08,27,179591460,POINT (-120.2658133 46.4063477),PUGET SOUND ENERGY INC,53023813786.1
5YJSA1H27E,King,Leavenworth,,2016,Bentley,Continental,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,168.8,71497.87,49,152574328,POINT (-122.6064912 47.5236145),PUD NO 1 OF CHELAN COUNTY,53070539480.9
5YJSA1H10E,Snohomish,Leavenworth,E,2015,Honda,Accord,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,126.9,108724.83,22,166758162,POINT (-120.2658133 46.4063477),PUGET SOUND ENERGY INC,53012755354.6
KNDJX3AE8G,Kitsap,Zillah,,2015,Mazda,MPV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,168.5,42474.52,1,154654181,POINT (-120.6860209 47.7095564),PUGET SOUND ENERGY INC,53059995453.0
5YJSA1H10E,King,Leavenworth,,2014,Kia,Rio,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,168.6,70869.78,22,139482788,POINT (-120.6860209 47.7095564),PACIFICORP,53057118718.3
KNDJX3AE8G,Kitsap,Port Orchard,,2015,Isuzu,Rodeo Sport,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,253.0,32743.32,25,154684005,POINT (-122.206146 47.839957),PACIFICORP,53074263338.5
5YJSA1DP4D,King,Bothell,,2013,Oldsmobile,98,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,139.0,87568.66,25,188317037,POINT (-120.2658133 46.4063477),PUD NO 1 OF CHELAN COUNTY,53042689667.0
5YJSA1H11E,Snohomish,Auburn,,2013,Maybach,57,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,100.2,35894.19,46,166756836,POINT (-120.6860209 47.7095564),PACIFICORP,53038170792.7
5YJSA1H27E,King,Leavenworth,,2016,Lincoln,Continental,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,177.5,78913.85,3,185304900,POINT (-122.206146 47.839957),PACIFICORP,53056754692.8
5YJSA1DP4D,Kitsap,Auburn,,2015,GMC,2500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,163.9,44670.66,40,140989090,POINT (-122.6064912 47.5236145),PUGET SOUND ENERGY INC,53024165704.0
5YJSA1H10E,Yakima,Port Orchard,N,2013,Isuzu,Rodeo,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,106.9,88849.19,23,165955977,POINT (-122.206146 47.839957),PUD NO 1 OF CHELAN COUNTY,53037010403.3
5YJSA1H27E,Snohomish,Auburn,,2015,Mazda,626,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,165.6,95637.92,26,179182352,POINT (-120.2658133 46.4063477),PACIFICORP,53022026780.1
5YJSA1H27E,Snohomish,Zillah,DC,2014,GMC,Yukon XL 1500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,144.1,59946.42,31,130465049,POINT (-120.2658133 46.4063477),PACIFICORP,53031928059.6
5YJSA1H27E,Kitsap,Bothell,,2013,Mitsubishi,3000GT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,196.9,106616.75,47,148937676,POINT (-120.2658133 46.4063477),PACIFICORP,53074989201.8
KNDJX3AE8G,Snohomish,Zillah,,2014,Ford,Ranger,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,240.7,38565.49,12,138420996,POINT (-120.2658133 46.4063477),PACIFICORP,53023554846.3
KNDJX3AE8G,Kitsap,Port Orchard,,2014,GMC,3500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,253.8,41742.59,10,137546639,POINT (-122.206146 47.839957),PUD NO 1 OF CHELAN COUNTY,53065345813.5
5YJSA1H10E,Snohomish,Zillah,,2013,Mazda,Millenia,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200.4,47321.21,23,128382633,POINT (-120.6860209 47.7095564),PACIFICORP,53010373627.5
KNDJX3AE8G,Chelan,Leavenworth,,2013,Cadillac,Eldorado,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,147.5,77020.14,31,131399321,POINT (-122.6064912 47.5236145),PUGET SOUND ENERGY INC,53062105552.3
KNDJX3AE8G,Kitsap,Port Orchard,,2015,Dodge,Ram 3500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,258.2,88975.46,48,139427792,POINT (-120.2658133 46.4063477),PUD NO 1 OF CHELAN COUNTY,53010848032.7
5YJSA1H11E,Kitsap,Leavenworth,,2016,Chevrolet,Lumina,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,237.3,53155.02,13,186873488,POINT (-122.6064912 47.5236145),PUD NO 1 OF CHELAN COUNTY,53022152100.6
5YJSA1H10E,Yakima,Zillah,,2013,Nissan,Xterra,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,188.2,90029.89,4,139338259,POINT (-120.6860209 47.7095564),PUGET SOUND ENERGY INC,53054405682.6
5YJSA1H27E,Chelan,Yakima,06,2014,Land Rover,Range Rover Sport,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,242.4,86095.33,39,161457498,POINT (-122.6064912 47.5236145),PACIFICORP,53032208757.6
5YJSA1H10E,Chelan,Yakima,,2014,Chevrolet,Camaro,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,129.5,109793.18,24,137027184,POINT (-120.6860209 47.7095564),PUD NO 1 OF CHELAN COUNTY,53041000015.4
5YJSA1H27E,King,Yakima,BC,2015,Volvo,960,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,136.8,51970.9,11,130693800,POINT (-122.6064912 47.5236145),PUD NO 1 OF CHELAN COUNTY,53040865966.4
5YJSA1H11E,Chelan,Yakima,,2013,Toyota,Tacoma,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,144.3,58910.67,27,179963357,POINT (-120.2658133 46.4063477),PACIFICORP,53032241023.5
5YJSA1H11E,Yakima,Bothell,,2014,Honda,del Sol,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,255.7,69855.73,8,138107165,POINT (-122.206146 47.839957),PACIFICORP,53036695744.9
5YJSA1H11E,King,Yakima,,2013,Mitsubishi,Galant,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,127.3,83535.48,39,139788402,POINT (-120.2658133 46.4063477),PUGET SOUND ENERGY INC,53011953813.1
5YJSA1DP4D,Chelan,Bothell,,2013,Hyundai,Genesis Coupe,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149.5,44948.09,4,155572641,POINT (-120.6860209 47.7095564),PACIFICORP,53037304203.6
5YJSA1DP4D,Kitsap,Yakima,AB,2015,BMW,525,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,233.1,40460.13,15,159183072,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53015427941.1
KNDJX3AE8G,King,Auburn,,2016,Nissan,Maxima,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,193.0,59370.18,23,171561700,POINT (-122.6064912 47.5236145),PACIFICORP,53074458200.2
KNDJX3AE8G,King,Auburn,,2015,Chrysler,Crossfire,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,146.6,67091.35,24,164439118,POINT (-120.2658133 46.4063477),PACIFICORP,53069067775.2
5YJSA1H11E,Snohomish,Auburn,,2016,Isuzu,Rodeo Sport,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,153.2,104483.85,23,144269554,POINT (-120.6860209 47.7095564),PUD NO 1 OF CHELAN COUNTY,53044711916.6
5YJSA1H10E,Kitsap,Zillah,,2016,Bentley,Azure,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,99.7,40587.45,12,155234315,POINT (-120.611068 46.596645),PACIFICORP,53014959523.6
5YJSA1H10E,King,Zillah,,2016,BMW,6 Series,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,97.2,94095.32,23,173049991,POINT (-122.206146 47.839957),PUD NO 1 OF CHELAN COUNTY,53055417847.8
5YJSA1H27E,Chelan,Port Orchard,13,2016,Ford,Explorer,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,223.3,52366.22,21,181867185,POINT (-120.2658133 46.4063477),PACIFICORP,53042598553.6
5YJSA1DP4D,Chelan,Bothell,,2015,Volkswagen,GTI,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,109.1,78197.28,3,183986407,POINT (-122.6064912 47.5236145),PUD NO 1 OF CHELAN COUNTY,53009982453.7
5YJSA1DP4D,King,Leavenworth,,2013,Volvo,V40,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,264.6,55898.16,46,129174243,POINT (-120.611068 46.596645),PACIFICORP,53012353598.9
5YJSA1H11E,Yakima,Auburn,,2014,BMW,5 Series,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239.1,87605.43,42,171184671,POINT (-122.6064912 47.5236145),PUGET SOUND ENERGY INC,53040127029.3
5YJSA1H11E,Chelan,Zillah,,2014,Buick,Hearse,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,213.7,96648.97,30,165636946,POINT (-120.611068 46.596645),PACIFICORP,53037179753.8
5YJSA1DP4D,Kitsap,Yakima,,2014,Nissan,Altima,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,234.3,43506.37,48,175809959,POINT (-120.6860209 47.7095564),PUGET SOUND ENERGY INC,53029888293.1
KNDJX3AE8G,Chelan,Port Orchard,,2016,Toyota,Prius,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,242.5,61969.39,34,154336276,POINT (-120.611068 46.596645),PUGET SOUND ENERGY INC,53059448945.8
5YJSA1H11E,Chelan,Port Orchard,HH,2016,Ford,E150,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,146.2,62609.09,33,146870885,POINT (-120.611068 46.596645),PACIFICORP,53064293575.4
5YJSA1H10E,Snohomish,Leavenworth,,2013,Mitsubishi,Mirage,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,171.6,88574.05,36,151878902,POINT (-120.611068 46.596645),PUGET SOUND ENERGY INC,53015385199.6
5YJSA1DP4D,Snohomish,Bothell,18,2014,Acura,RL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,182.6,42286.35,19,167777937,POINT (-120.611068 46.596645),PACIFICORP,53023651090.6
5YJSA1H10E,Yakima,Bothell,JAL,2013,Chevrolet,Caprice,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,95.9,51562.63,6,179201503,POINT (-122.206146 47.839957),PACIFICORP,53021367438.8
