Seat Comfort,Cabin Staff Service,Ground Service,Food & Beverages,Inflight Entertainment,Value For Money,Review Sentiment,Seat_Types_Business Class,Seat_Types_Economy Class,Seat_Types_First Class,Seat_Types_Premium Economy,Type_of_Travellers_Business,Type_of_Travellers_Couple Leisure,Type_of_Travellers_Family Leisure,Type_of_Travellers_Solo Leisure,index,Recommended
2.0,2.0,3.0,1.0,3.0,3,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,54,no
4.0,5.0,4.0,4.0,3.0,4,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,57,yes
3.0,1.0,4.0,1.0,1.0,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,59,no
3.0,2.0,4.0,1.0,1.0,1,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,60,no
2.0,5.0,1.0,3.0,3.0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,62,no
5.0,4.0,3.0,4.0,3.0,3,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,63,no
1.0,3.0,3.0,1.0,3.0,2,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,64,no
3.0,3.0,1.0,3.0,3.0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,66,no
1.0,1.0,2.0,1.0,1.0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,71,no
3.0,3.0,1.0,3.0,3.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,74,no
1.0,3.0,2.0,1.0,1.0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,77,no
1.0,1.0,1.0,1.0,1.0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,79,no
3.0,3.0,2.0,3.0,2.0,2,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,80,no
2.0,3.0,1.0,3.0,4.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,83,no
1.0,3.0,1.0,2.0,1.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,84,no
2.0,4.0,1.0,3.0,3.0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,85,no
1.0,1.0,1.0,1.0,1.0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,88,no
1.0,2.0,4.0,2.0,4.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,90,no
4.0,4.0,1.0,5.0,5.0,2,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,91,no
2.0,4.0,2.0,4.0,4.0,2,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,93,no
4.0,5.0,5.0,3.0,3.0,4,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,94,no
5.0,5.0,4.0,4.0,5.0,4,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,95,yes
3.0,2.0,1.0,2.0,3.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,96,no
1.0,1.0,1.0,1.0,1.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,97,no
1.0,1.0,1.0,1.0,1.0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,98,no
3.0,1.0,1.0,1.0,3.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,99,no
1.0,1.0,1.0,1.0,1.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,102,no
4.0,4.0,4.0,3.0,5.0,4,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,103,yes
1.0,1.0,1.0,1.0,1.0,1,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,105,no
2.0,2.0,1.0,3.0,1.0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,108,no
3.0,1.0,2.0,1.0,4.0,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,110,no
1.0,1.0,1.0,3.0,3.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,111,no
1.0,3.0,1.0,3.0,1.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,113,no
5.0,5.0,1.0,4.0,5.0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,114,no
4.0,3.0,1.0,1.0,2.0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,115,no
1.0,1.0,1.0,1.0,1.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,117,no
1.0,1.0,1.0,1.0,1.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,118,no
4.0,3.0,1.0,3.0,3.0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,120,no
4.0,2.0,3.0,1.0,5.0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,121,no
3.0,3.0,3.0,3.0,2.0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,122,no
3.0,2.0,3.0,1.0,1.0,2,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,123,no
2.0,1.0,1.0,2.0,3.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,124,no
2.0,1.0,1.0,1.0,3.0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,125,no
4.0,5.0,4.0,4.0,3.0,4,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,126,yes
1.0,4.0,1.0,1.0,3.0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,127,no
2.0,5.0,4.0,2.0,3.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,129,no
2.0,1.0,2.0,1.0,1.0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,130,no
1.0,1.0,1.0,1.0,1.0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,134,no
1.0,2.0,2.0,2.0,1.0,2,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,135,no
1.0,1.0,4.0,1.0,4.0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,136,no
4.0,3.0,2.0,2.0,3.0,3,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,138,no
2.0,2.0,4.0,3.0,3.0,3,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,142,no
4.0,1.0,1.0,5.0,5.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,143,no
3.0,2.0,3.0,2.0,2.0,2,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,144,no
4.0,5.0,4.0,3.0,5.0,5,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,145,yes
3.0,3.0,3.0,3.0,1.0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,147,no
3.0,1.0,1.0,3.0,4.0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,152,yes
1.0,1.0,2.0,1.0,2.0,2,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,153,no
1.0,4.0,4.0,1.0,1.0,2,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,154,no
4.0,4.0,3.0,2.0,3.0,3,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,155,yes
4.0,5.0,1.0,4.0,4.0,2,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,156,no
3.0,2.0,1.0,1.0,1.0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,162,no
1.0,2.0,3.0,2.0,2.0,1,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,163,no
1.0,1.0,1.0,1.0,1.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,164,no
4.0,4.0,1.0,4.0,4.0,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,166,no
1.0,1.0,1.0,1.0,1.0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,169,no
1.0,2.0,3.0,1.0,1.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,173,no
5.0,5.0,5.0,5.0,5.0,5,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,174,yes
3.0,2.0,2.0,1.0,4.0,3,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,175,no
1.0,2.0,3.0,1.0,1.0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,176,no
3.0,5.0,5.0,5.0,4.0,4,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,177,yes
2.0,3.0,4.0,2.0,3.0,3,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,178,yes
1.0,4.0,1.0,1.0,1.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,181,no
4.0,5.0,4.0,2.0,3.0,5,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,185,yes
5.0,5.0,5.0,4.0,4.0,5,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,187,yes
4.0,4.0,4.0,1.0,1.0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,192,no
4.0,5.0,5.0,4.0,3.0,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,194,yes
4.0,5.0,4.0,5.0,4.0,4,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,195,yes
5.0,5.0,5.0,5.0,5.0,4,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,196,yes
4.0,5.0,4.0,4.0,3.0,5,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,200,yes
3.0,5.0,4.0,5.0,5.0,4,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,201,yes
3.0,4.0,3.0,1.0,1.0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,203,no
1.0,1.0,1.0,1.0,3.0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,204,no
3.0,2.0,3.0,3.0,4.0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,205,no
1.0,5.0,1.0,1.0,1.0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,206,no
1.0,2.0,1.0,1.0,1.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,207,no
2.0,5.0,2.0,2.0,1.0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,208,no
5.0,3.0,5.0,1.0,1.0,4,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,210,no
3.0,4.0,4.0,4.0,2.0,3,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,211,no
3.0,4.0,2.0,4.0,2.0,3,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,212,no
4.0,3.0,1.0,2.0,2.0,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,213,no
2.0,2.0,3.0,1.0,1.0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,217,no
2.0,2.0,1.0,2.0,2.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,220,no
4.0,1.0,1.0,1.0,3.0,1,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,221,no
3.0,5.0,1.0,4.0,3.0,4,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,222,no
1.0,1.0,1.0,1.0,1.0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,224,no
2.0,5.0,3.0,4.0,4.0,5,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,225,yes
5.0,5.0,5.0,3.0,3.0,3,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,226,no
1.0,1.0,1.0,1.0,3.0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,231,no
2.0,1.0,3.0,2.0,2.0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,233,no
4.0,4.0,4.0,4.0,4.0,4,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,235,yes
2.0,3.0,1.0,3.0,4.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,236,no
1.0,1.0,1.0,1.0,1.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,238,no
4.0,2.0,1.0,1.0,4.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,239,no
2.0,5.0,2.0,2.0,2.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,240,no
1.0,3.0,2.0,3.0,1.0,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,241,yes
3.0,3.0,1.0,3.0,2.0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,242,no
3.0,1.0,1.0,1.0,2.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,246,no
5.0,4.0,3.0,5.0,5.0,5,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,247,yes
1.0,2.0,2.0,1.0,1.0,2,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,249,no
5.0,4.0,5.0,4.0,5.0,4,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,250,yes
3.0,1.0,3.0,1.0,4.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,251,no
3.0,5.0,2.0,5.0,3.0,5,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,252,yes
1.0,1.0,1.0,3.0,3.0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,253,no
2.0,2.0,4.0,1.0,3.0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,254,no
3.0,4.0,4.0,3.0,4.0,4,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,255,yes
5.0,5.0,4.0,3.0,2.0,3,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,256,yes
4.0,4.0,4.0,4.0,2.0,3,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,257,yes
5.0,5.0,5.0,5.0,5.0,4,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,259,yes
2.0,4.0,4.0,2.0,4.0,3,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,261,yes
1.0,3.0,3.0,2.0,1.0,2,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,264,no
5.0,4.0,5.0,4.0,4.0,5,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,265,yes
5.0,5.0,5.0,5.0,5.0,5,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,267,yes
5.0,5.0,5.0,5.0,5.0,5,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,268,yes
1.0,3.0,4.0,2.0,5.0,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,269,yes
4.0,1.0,1.0,2.0,1.0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,272,no
3.0,5.0,4.0,5.0,1.0,3,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,274,yes
3.0,2.0,4.0,1.0,2.0,3,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,276,no
2.0,1.0,1.0,2.0,3.0,1,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,277,no
5.0,5.0,3.0,5.0,5.0,4,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,279,yes
1.0,1.0,1.0,1.0,1.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,280,no
5.0,5.0,5.0,5.0,5.0,5,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,283,yes
5.0,5.0,5.0,5.0,5.0,3,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,284,yes
2.0,1.0,4.0,1.0,3.0,3,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,285,no
1.0,1.0,1.0,1.0,1.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,288,no
4.0,5.0,4.0,4.0,4.0,4,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,291,yes
5.0,5.0,1.0,5.0,5.0,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,294,no
1.0,2.0,3.0,3.0,1.0,3,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,295,yes
5.0,5.0,5.0,5.0,5.0,5,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,299,yes
4.0,4.0,5.0,4.0,5.0,4,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,300,yes
1.0,1.0,1.0,1.0,1.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,302,no
3.0,3.0,1.0,3.0,2.0,2,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,304,no
1.0,3.0,2.0,3.0,2.0,4,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,306,no
2.0,2.0,1.0,2.0,2.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,308,no
1.0,1.0,1.0,1.0,1.0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,309,no
3.0,4.0,3.0,4.0,2.0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,310,no
2.0,2.0,1.0,1.0,1.0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,311,no
2.0,2.0,2.0,2.0,2.0,2,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,312,no
1.0,4.0,3.0,1.0,2.0,2,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,315,no
1.0,4.0,2.0,1.0,1.0,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,316,no
2.0,4.0,4.0,2.0,2.0,2,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,317,no
1.0,4.0,1.0,4.0,3.0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,319,no
1.0,2.0,2.0,1.0,3.0,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,321,no
4.0,4.0,2.0,3.0,5.0,4,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,322,yes
4.0,3.0,3.0,2.0,4.0,3,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,324,no
2.0,2.0,1.0,3.0,4.0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,325,no
1.0,1.0,1.0,1.0,1.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,326,no
4.0,5.0,2.0,3.0,4.0,5,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,329,yes
4.0,3.0,1.0,3.0,4.0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,334,no
1.0,5.0,3.0,1.0,3.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,335,no
3.0,2.0,1.0,1.0,1.0,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,342,no
1.0,2.0,1.0,2.0,2.0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,343,no
5.0,4.0,4.0,4.0,3.0,4,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,345,yes
3.0,4.0,1.0,4.0,4.0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,346,no
5.0,5.0,5.0,5.0,5.0,5,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,348,yes
5.0,5.0,5.0,5.0,5.0,5,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,351,yes
1.0,1.0,1.0,1.0,1.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,355,no
5.0,5.0,3.0,5.0,4.0,4,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,358,yes
2.0,3.0,1.0,2.0,3.0,2,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,359,no
4.0,5.0,4.0,4.0,3.0,3,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,361,yes
5.0,5.0,5.0,4.0,5.0,4,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,363,yes
3.0,2.0,2.0,2.0,1.0,2,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,365,no
5.0,5.0,4.0,5.0,5.0,5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,366,yes
4.0,4.0,2.0,4.0,4.0,5,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,370,yes
2.0,3.0,4.0,3.0,1.0,3,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,373,yes
1.0,1.0,1.0,1.0,1.0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,376,no
4.0,5.0,4.0,4.0,2.0,4,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,377,yes
3.0,1.0,2.0,1.0,1.0,4,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,379,no
2.0,1.0,1.0,2.0,1.0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,380,no
2.0,1.0,3.0,1.0,2.0,2,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,382,no
4.0,1.0,1.0,1.0,1.0,3,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,385,no
3.0,2.0,4.0,1.0,3.0,2,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,386,no
5.0,1.0,2.0,1.0,4.0,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,387,no
3.0,4.0,3.0,3.0,1.0,3,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,388,no
4.0,2.0,4.0,2.0,3.0,3,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,390,no
1.0,3.0,1.0,3.0,3.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,392,no
3.0,3.0,2.0,2.0,3.0,3,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,395,yes
3.0,4.0,2.0,1.0,1.0,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,396,no
3.0,3.0,3.0,2.0,1.0,3,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,397,no
4.0,5.0,4.0,5.0,5.0,5,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,399,yes
4.0,5.0,5.0,4.0,4.0,4,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,403,yes
1.0,2.0,1.0,1.0,1.0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,404,no
4.0,5.0,5.0,5.0,4.0,4,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,406,yes
4.0,5.0,5.0,4.0,4.0,5,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,410,yes
3.0,4.0,3.0,2.0,4.0,3,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,411,yes
2.0,4.0,3.0,3.0,1.0,3,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,412,no
2.0,1.0,1.0,1.0,2.0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,413,no
3.0,4.0,1.0,4.0,4.0,4,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,414,no
4.0,2.0,1.0,1.0,3.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,417,no
1.0,1.0,1.0,2.0,3.0,2,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,418,no
1.0,4.0,1.0,1.0,1.0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,419,no
2.0,1.0,1.0,1.0,3.0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,420,no
3.0,3.0,4.0,2.0,5.0,3,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,423,yes
1.0,4.0,2.0,1.0,1.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,427,no
4.0,5.0,4.0,5.0,3.0,4,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,429,yes
